name	length	run_2785_s_1_withindex_sequence.txt_AATTCAT	run_2785_s_1_withindex_sequence.txt_AGGCGAA	run_2785_s_1_withindex_sequence.txt_CTGCAAT	run_2785_s_1_withindex_sequence.txt_GGAGTCC	run_2785_s_1_withindex_sequence.txt_GTAAAAA	run_2785_s_1_withindex_sequence.txt_TGGCATA
ABHD17B	2959	10	11	8	18	15	11
ABHD17C	3627	6	11	3	9	22	7
ABHD18	6491	48	40	57	79	45	55
ABHD2	10345	2124	1761	341	1755	263	1575
ABHD3	4366	43	25	24	25	21	21
ABHD4	4070	106	77	49	199	39	172
ABHD5	3172	66	46	34	54	34	48
ABHD6	3589	34	15	23	58	18	59
ABHD8	2210	2	3	2	2	2	1
ABI1	4218	364	305	95	258	75	199
ABI1P1	1120	2	4	6	3	13	1
ABI2	23331	427	398	212	527	197	632
ABI3	2456	13	8	6	11	12	9
ABI3BP	10978	261	176	138	286	120	194
ABL1	6276	109	76	33	126	33	92
ABL2	13257	222	166	82	153	90	165
ABLIM1	9871	10585	8827	4311	18405	4214	17626
ABLIM2	6049	87	94	58	78	61	77
ABLIM3	7225	506	411	106	806	120	630
ABO	6354	17	1	7	11	11	17
ABR	11709	388	324	149	456	106	298
ABRA	2755	284	176	48	129	30	62
ABRACL	1200	3	3	6	0	2	2
ABRAXAS1	7777	33	33	45	48	36	37
ABRAXAS2	2992	65	54	32	55	35	56
ABT1	2949	17	14	25	17	17	12
ABT1P1	821	1	5	3	1	6	3
ABTB1	6149	97	49	23	90	13	57
ABTB2	4973	93	66	19	55	18	25
AC000032.1	491	0	0	0	0	0	0
AC000035.1	343	0	0	0	0	0	0
AC000036.1	2030	1	1	5	2	3	0
AC000041.1	175	0	0	0	0	0	0
AC000041.2	151	0	0	0	0	0	0
AC000058.1	536	0	4	6	0	4	1
AC000061.1	376	0	1	5	2	9	0
AC000067.1	287	0	1	1	0	2	0
AC000068.1	2097	3	5	10	7	8	6
AC000068.2	460	4	0	0	1	4	0
AC000068.3	427	0	0	0	0	0	0
AC000077.1	953	0	0	6	0	3	0
AC000078.1	682	2	7	0	5	2	10
AC000081.1	297	0	1	1	1	2	1
AC000089.1	801	0	1	0	0	0	1
AC000095.1	874	0	0	0	0	0	0
AC000095.2	768	7	1	3	3	4	0
AC000099.1	1912	1	2	9	1	7	0
AC000111.1	221	0	0	4	1	2	0
AC000111.2	210	0	0	2	1	3	0
AC000111.3	193	1	0	1	0	0	0
AC000120.1	1589	2	4	13	16	9	13
AC000123.1	516	5	6	1	3	2	4
AC000123.2	461	5	2	2	4	2	8
AC000123.3	4975	240	205	132	213	98	309
AC000124.1	957	0	0	10	3	9	0
AC000362.1	425	2	0	1	0	1	0
AC000367.1	1766	1	2	11	4	8	0
AC000372.1	646	0	0	5	0	5	0
AC000374.1	1745	45	35	58	54	44	105
AC000403.1	3585	4	4	31	3	35	0
AC001226.1	539	0	1	11	3	14	0
AC001226.2	6145	23	14	20	25	12	26
AC002044.1	158	0	0	2	2	0	1
AC002044.2	970	23	23	6	25	4	27
AC002044.3	541	1	0	1	4	8	5
AC002056.1	760	0	1	0	1	1	0
AC002056.2	284	0	0	0	0	1	0
AC002059.1	477	0	0	4	0	0	0
AC002064.1	733	4	0	3	1	0	0
AC002064.2	289	1	0	8	5	1	2
AC002064.3	346	1	0	1	1	2	0
AC002066.1	1213	11	12	7	7	2	5
AC002069.1	1159	1	2	15	9	11	0
AC002069.2	883	1	1	5	0	1	0
AC002070.1	1013	1	1	5	2	3	0
AC002075.1	676	6	0	10	1	10	1
AC002075.2	252	0	1	0	1	2	0
AC002076.1	527	0	3	8	2	5	0
AC002076.2	122	1	4	3	1	7	0
AC002090.1	2138	1	0	13	6	12	2
AC002091.1	557	0	0	2	0	0	0
AC002091.2	402	0	1	0	0	1	0
AC002094.1	1050	0	0	0	0	0	0
AC002094.2	1121	0	0	0	0	0	0
AC002094.3	851	0	0	0	0	0	0
AC002094.4	307	1	0	1	1	2	0
AC002094.5	629	8	12	9	10	11	18
AC002101.1	1990	0	1	3	2	4	0
AC002115.1	568	0	0	1	1	2	0
AC002115.2	603	0	0	3	1	0	0
AC002116.1	1130	0	0	0	0	0	0
AC002116.2	643	0	1	7	2	1	0
AC002127.1	225	2	2	2	1	3	0
AC002127.2	792	0	4	3	1	6	0
AC002128.1	1016	3	4	2	5	5	10
AC002128.2	618	1	0	2	0	4	0
AC002306.1	937	1	0	7	1	5	0
AC002310.1	1827	6	3	8	4	4	2
AC002310.2	1918	0	2	1	1	1	1
AC002310.3	723	2	1	4	1	1	0
AC002310.4	377	0	0	0	0	0	0
AC002310.5	1515	0	0	0	0	0	0
AC002310.6	1377	5	5	1	8	3	3
AC002347.1	541	2	3	2	1	1	0
AC002347.2	171	0	0	1	0	0	0
AC002350.1	375	0	3	5	2	2	0
AC002350.2	1828	14	7	8	11	23	4
AC002351.1	594	4	7	3	2	1	2
AC002366.1	1190	3	2	6	7	5	6
AC002367.1	405	0	0	3	4	5	1
AC002368.1	388	0	0	0	1	0	0
AC002375.1	581	0	2	1	0	0	0
AC002378.1	298	0	0	0	0	2	0
AC002381.1	280	49	41	15	50	13	61
AC002383.1	671	0	6	3	1	5	0
AC002384.1	3542	4	3	27	17	43	1
AC002384.2	790	1	0	1	0	2	0
AC002386.1	398	2	1	1	2	2	0
AC002398.1	427	2	2	0	1	0	0
AC002398.2	660	0	0	0	0	0	0
AC002400.1	726	9	9	4	9	6	13
AC002401.1	468	0	0	0	1	0	0
AC002401.2	430	2	4	1	4	0	2
AC002401.3	440	2	1	1	5	2	3
AC002401.4	583	0	3	1	0	0	0
AC002407.1	3863	1	3	17	1	21	0
AC002428.1	771	2	2	3	2	3	0
AC002428.2	414	2	1	11	0	4	0
AC002429.1	148	0	0	0	0	0	0
AC002429.2	4025	11	18	22	17	12	13
AC002451.1	1043	6	4	10	6	8	1
AC002451.2	2398	1	1	12	3	15	1
AC002454.1	667	0	2	8	3	7	0
AC002456.1	616	7	1	6	4	16	7
AC002456.2	380	0	0	2	0	0	0
AC002460.1	479	3	1	4	0	8	0
AC002463.1	1188	3	7	18	12	12	0
AC002464.1	1530	1	2	23	7	30	0
AC002465.1	349	0	1	2	0	7	0
AC002467.1	984	3	0	2	5	2	0
AC002470.1	395	0	1	1	0	2	0
AC002472.1	563	0	0	2	1	2	2
AC002472.2	958	1	2	0	0	0	0
AC002472.3	621	0	0	0	0	0	0
AC002472.4	272	0	0	0	0	0	0
AC002480.1	1282	2	0	3	5	4	2
AC002480.2	2432	6	2	18	11	17	12
AC002480.3	557	0	1	5	7	4	9
AC002480.4	2592	1	4	21	0	15	1
AC002486.1	391	3	6	4	2	9	0
AC002486.2	590	1	2	9	1	7	0
AC002487.1	994	0	1	5	2	7	1
AC002504.1	691	0	0	4	0	5	0
AC002511.1	1000	5	3	2	1	7	1
AC002511.2	450	0	0	2	1	5	3
AC002511.3	420	0	0	0	0	0	0
AC002519.1	2792	7	2	5	7	4	3
AC002519.2	1458	1	0	4	0	6	0
AC002524.1	547	0	0	0	0	0	0
AC002525.1	1622	280	251	38	196	54	280
AC002540.1	1349	7	3	3	8	9	9
AC002542.1	193	0	1	6	1	1	1
AC002543.1	1954	9	10	4	7	11	8
AC002545.1	181	0	1	1	1	1	0
AC002546.1	2504	1	5	15	2	16	0
AC002546.2	584	5	1	3	7	12	3
AC002550.1	1379	7	3	2	5	5	1
AC002550.2	394	1	6	0	6	0	2
AC002551.1	592	5	7	8	4	7	7
AC002553.1	802	7	9	2	9	2	9
AC002553.2	340	6	11	3	9	7	11
AC002553.3	341	0	0	0	0	0	0
AC002553.4	331	8	3	0	3	6	4
AC002558.1	803	12	8	1	18	2	14
AC002558.2	673	13	9	0	11	5	11
AC002558.3	401	11	10	8	11	3	10
AC002563.1	451	0	1	0	2	0	0
AC002984.1	448	9	3	2	11	5	2
AC002985.1	685	0	0	0	0	0	0
AC002985.2	957	3	1	3	0	3	0
AC002996.1	784	0	0	0	0	0	0
AC003001.1	1135	0	0	2	0	5	0
AC003001.2	831	0	0	5	0	6	0
AC003002.1	1843	6	1	9	4	5	3
AC003002.2	456	0	0	0	0	0	0
AC003002.3	521	8	3	2	3	3	14
AC003002.4	1210	0	3	0	2	2	0
AC003005.1	603	0	0	0	0	0	0
