name	length	run_2785_s_1_withindex_sequence.txt_AATTCAT	run_2785_s_1_withindex_sequence.txt_AGGCGAA	run_2785_s_1_withindex_sequence.txt_CTGCAAT	run_2785_s_1_withindex_sequence.txt_GGAGTCC	run_2785_s_1_withindex_sequence.txt_GTAAAAA	run_2785_s_1_withindex_sequence.txt_TGGCATA
AL024498.2	1589	0	0	0	0	0	0
AL024507.1	274	0	0	0	0	1	0
AL024507.2	2574	7	10	11	13	15	5
AL024508.1	505	18	11	10	10	6	20
AL024508.2	1894	2	7	9	2	18	0
AL024509.1	927	0	1	10	3	9	0
AL024509.2	493	0	1	2	0	4	0
AL024509.3	745	0	1	2	3	4	0
AL030996.1	235	0	0	0	0	0	0
AL031003.1	172	0	0	1	0	1	0
AL031005.1	723	4	1	1	5	0	6
AL031008.1	541	0	0	0	2	0	0
AL031009.1	2182	16	20	8	11	11	14
AL031055.1	631	0	1	4	0	5	0
AL031056.1	2853	1	6	29	3	16	0
AL031056.2	1217	1	1	8	1	13	0
AL031058.1	888	11	8	6	26	4	12
AL031073.1	1139	2	5	3	0	4	0
AL031118.1	2955	2	3	7	9	11	4
AL031119.1	1879	16	9	17	10	17	15
AL031121.1	254	0	0	2	0	7	0
AL031123.1	568	2	1	3	4	7	3
AL031123.2	3325	16	16	41	8	56	8
AL031123.3	1837	13	8	5	4	6	3
AL031133.1	723	2	1	16	3	19	0
AL031176.1	466	0	1	5	0	2	0
AL031183.1	207	0	0	0	0	0	0
AL031186.1	385	1	1	1	1	0	0
AL031229.1	224	0	2	3	1	0	0
AL031258.1	325	0	1	0	0	0	0
AL031274.1	232	0	0	0	0	0	0
AL031274.2	203	0	0	0	0	0	0
AL031275.1	418	1	0	8	1	10	0
AL031280.1	2224	20	31	10	26	12	25
AL031281.1	488	2	1	1	2	1	2
AL031281.2	748	4	3	4	7	13	3
AL031282.1	2759	16	18	8	27	6	23
AL031282.2	5079	18	20	9	41	6	42
AL031283.1	5178	0	5	18	4	29	1
AL031283.2	3105	3	0	9	2	8	0
AL031283.3	727	0	0	3	0	0	0
AL031284.1	478	0	0	0	0	0	0
AL031289.1	471	2	2	3	0	4	1
AL031291.1	742	0	1	0	0	1	0
AL031313.1	256	0	0	1	1	3	0
AL031316.1	477	3	2	1	9	1	5
AL031320.1	357	1	0	5	3	2	0
AL031320.2	2079	21	16	5	18	3	23
AL031386.1	142	0	0	0	0	0	0
AL031428.1	666	1	0	2	0	0	0
AL031429.1	749	0	2	7	0	12	0
AL031429.2	649	1	1	1	1	1	0
AL031430.1	1039	1	0	7	7	8	1
AL031432.1	988	1	1	4	2	10	1
AL031432.2	459	1	1	1	1	0	6
AL031432.3	485	2	0	1	3	4	0
AL031432.4	2190	54	49	36	90	25	72
AL031432.5	760	0	0	3	3	3	2
AL031575.1	845	1	2	7	6	8	2
AL031577.1	399	21	14	5	22	4	27
AL031577.2	280	2	4	0	1	0	1
AL031584.1	754	0	0	2	0	1	0
AL031584.2	767	0	0	0	0	0	0
AL031587.1	1055	1	1	3	2	3	1
AL031587.2	414	0	0	0	0	0	0
AL031587.3	814	0	0	0	0	0	0
AL031587.4	691	0	0	1	1	3	0
AL031587.5	1849	1	1	3	1	0	1
AL031587.6	54538	80	79	109	141	122	95
AL031590.1	4521	2	1	5	2	14	0
AL031593.1	865	0	0	0	0	1	0
AL031594.1	1932	83	70	10	67	16	45
AL031595.1	4709	0	4	3	1	4	3
AL031595.2	19071	13	12	44	20	57	3
AL031595.3	14262	166	160	131	568	109	549
AL031597.1	432	0	0	0	0	0	0
AL031598.1	1773	0	0	3	0	1	0
AL031599.1	808	1	1	19	0	16	1
AL031600.1	570	0	1	1	2	0	3
AL031600.2	307	1	0	0	0	0	0
AL031600.3	1124	0	0	0	0	0	0
AL031601.1	394	0	1	2	0	0	0
AL031601.2	563	0	1	2	3	2	0
AL031602.1	911	3	2	1	9	2	7
AL031651.1	1438	2	2	8	3	10	0
AL031651.2	549	2	1	1	1	0	0
AL031656.1	2133	2	2	4	1	10	0
AL031658.1	2013	2	1	16	5	11	1
AL031658.2	651	0	0	1	0	0	0
AL031659.1	539	0	3	6	2	7	1
AL031663.1	219	0	0	0	0	0	0
AL031663.2	355	0	0	0	0	3	0
AL031663.3	1794	2	2	3	1	4	0
AL031665.1	572	0	1	0	1	1	0
AL031665.2	209	2	2	3	6	1	3
AL031666.1	1809	42	34	8	24	14	16
AL031666.2	2253	26	28	12	27	27	25
AL031666.3	1006	47	42	9	38	13	29
AL031667.1	725	0	0	0	0	1	0
AL031667.2	323	5	4	3	6	3	5
AL031667.3	655	24	4	9	14	5	12
AL031668.1	603	1	2	1	4	5	2
AL031670.1	669	10	11	1	8	4	5
AL031673.1	466	8	6	2	9	8	9
AL031674.1	1173	4	6	21	4	22	0
AL031676.1	1586	0	2	11	1	12	0
AL031679.1	525	0	2	5	1	8	0
AL031681.1	400	0	0	1	0	1	0
AL031686.1	4273	5	2	13	7	23	3
AL031687.1	2137	0	1	4	0	5	0
AL031705.1	682	4	2	2	2	1	2
AL031708.1	5326	23	13	8	15	7	13
AL031709.1	435	3	0	0	0	1	2
AL031710.1	468	6	3	4	5	0	2
AL031710.2	722	5	1	2	3	5	3
AL031713.1	661	0	0	0	0	0	0
AL031714.1	4489	18	12	6	23	3	23
AL031716.1	530	13	6	4	5	4	1
AL031717.1	565	15	19	3	32	3	25
AL031719.1	2587	1	1	0	0	2	1
AL031719.2	476	3	1	0	1	3	5
AL031722.1	220	1	0	3	5	3	0
AL031726.1	568	0	1	6	1	9	1
AL031727.1	455	15	10	9	11	4	10
AL031727.2	207	2	1	2	1	2	3
AL031728.1	2479	1	3	5	6	6	3
AL031729.1	192	0	1	2	0	0	0
AL031731.1	2094	2	2	12	0	9	2
AL031733.1	455	0	0	0	0	4	0
AL031733.2	2523	5	11	13	18	21	19
AL031736.1	618	0	0	2	2	4	1
AL031736.2	787	1	2	3	0	6	1
AL031737.1	223	0	0	0	0	0	0
AL031767.1	386	0	1	5	0	7	0
AL031768.1	701	5	6	3	6	9	3
AL031770.1	851	10	4	4	7	9	10
AL031772.1	4685	32	31	35	39	51	28
AL031773.1	554	0	1	4	2	0	0
AL031775.1	887	6	8	2	5	2	7
AL031775.2	405	3	5	9	7	4	0
AL031777.1	499	1	2	8	3	4	2
AL031777.2	196	0	0	0	0	0	0
AL031779.1	330	1	0	2	2	3	0
AL031846.1	640	0	0	3	0	2	0
AL031846.2	3671	19	16	10	38	9	33
AL031847.1	378	2	2	5	2	0	7
AL031848.1	351	0	0	4	1	1	0
AL031848.2	837	0	0	0	0	0	0
AL031864.1	423	1	3	1	0	8	0
AL031864.2	350	0	0	0	0	8	0
AL031963.1	695	0	0	0	0	0	0
AL031963.2	398	0	0	6	0	1	0
AL031963.3	850	1	1	4	1	0	3
AL031985.1	418	0	0	1	0	5	0
AL031985.2	480	0	0	1	1	2	0
AL031985.3	2449	5	5	3	1	13	1
AL031985.4	673	0	0	2	0	4	0
AL032819.1	379	0	1	1	0	0	0
AL032819.2	2162	0	0	0	0	1	0
AL032819.3	925	0	0	0	0	0	0
AL032821.1	581	0	3	4	0	4	0
AL032822.1	1063	1	1	15	1	10	0
AL033379.1	481	0	0	2	0	3	0
AL033380.1	421	0	0	2	0	1	0
AL033381.1	3435	0	3	14	0	32	0
AL033381.2	732	0	1	4	0	0	0
AL033384.1	3227	4	10	7	6	8	1
AL033384.2	456	2	0	0	0	1	3
AL033397.1	3994	0	6	23	3	32	1
AL033397.2	547	11	17	2	5	3	5
AL033504.1	1267	7	6	3	3	5	2
AL033519.1	307	19	12	5	29	8	23
AL033519.2	392	0	0	2	1	1	0
AL033519.3	595	1	1	3	0	0	0
AL033523.1	153	0	0	1	0	2	0
AL033527.1	154	0	0	1	0	3	0
AL033527.2	785	0	0	1	1	1	0
AL033527.3	1196	0	0	5	0	2	0
AL033527.4	673	0	2	2	1	3	0
AL033527.5	1744	0	1	6	3	5	0
AL033528.1	140	0	0	0	0	0	0
AL033528.2	849	0	1	1	4	0	0
AL033529.1	3447	0	1	9	3	5	1
AL033539.1	743	0	0	1	1	0	0
AL033543.1	13454	87	96	41	143	59	116
AL034345.1	123	0	0	0	0	0	0
AL034345.2	1213	1	4	17	1	20	0
AL034346.1	1277	0	0	0	1	1	0
AL034347.1	835	0	1	3	0	6	0
AL034349.1	549	4	3	4	10	1	13
AL034351.1	668	2	1	4	2	5	3
AL034369.1	477	0	0	1	1	1	1
AL034370.1	1590	4	6	29	3	38	0
AL034372.1	754	0	1	6	1	4	0
AL034374.1	351	0	1	4	2	1	0
AL034374.2	548	1	1	3	0	1	0
AL034376.1	484	2	1	5	0	5	0
AL034376.2	573	0	2	6	2	6	0
AL034379.1	253	0	1	1	0	0	0
AL034380.1	306	0	0	0	0	0	0
AL034397.1	908	1	1	12	0	8	0
AL034397.2	857	1	1	5	0	7	0
AL034397.3	1815	9	11	22	8	18	2
AL034399.1	380	0	1	3	0	1	0
AL034399.2	2090	2	4	17	1	9	0
AL034403.1	885	0	1	5	0	5	0
AL034405.1	526	4	6	3	2	4	0
AL034408.1	664	0	0	1	0	0	0
AL034417.1	800	0	3	2	1	4	0
AL034417.2	2044	2	1	5	3	6	0
AL034417.3	1043	2	2	7	1	10	1
AL034417.4	4116	30	23	27	10	36	4
AL034418.1	860	7	4	2	11	3	15
AL034428.1	1700	1	3	7	4	20	2
AL034546.1	3693	0	1	4	3	8	0
AL034548.1	1672	2	3	6	0	3	0
AL034549.1	578	0	0	1	4	1	0
AL034549.2	3373	3	4	21	3	20	0
AL034550.1	986	0	1	0	1	5	3
AL034550.2	1771	1	5	3	3	7	1
AL034555.1	211	6	7	2	7	1	5
AL035045.1	632	0	0	1	1	7	0
AL035071.1	2131	42	35	16	20	11	24
AL035071.2	459	0	2	3	0	4	0
AL035078.1	1092	0	3	16	1	8	1
AL035078.2	326	0	0	1	0	1	0
AL035078.3	241	0	1	3	0	2	0
AL035079.1	287	2	3	6	3	2	0
AL035090.1	332	2	3	11	4	11	5
AL035246.1	1255	0	0	14	4	13	0
AL035250.1	593	0	1	5	1	7	0
AL035250.2	620	0	0	3	0	7	0
AL035252.1	895	0	1	1	1	1	0
AL035252.2	3379	2	1	4	2	5	0
AL035252.3	2784	27	24	11	14	15	15
AL035252.4	288	0	0	0	0	0	0
AL035258.1	439	0	0	1	0	3	0
AL035398.1	322	3	2	0	4	1	2
AL035401.1	871	0	3	6	0	4	0
AL035404.1	568	1	1	3	3	15	0
AL035404.2	304	1	0	0	1	2	1
AL035405.1	710	2	0	4	2	1	5
AL035407.1	571	4	5	5	2	2	2
AL035407.2	378	0	1	7	0	4	1
AL035409.1	497	2	0	6	6	11	0
AL035410.1	427	0	2	1	1	0	1
AL035410.2	864	1	1	11	1	3	0
AL035411.1	690	0	1	2	0	3	0
AL035411.2	421	0	2	3	5	5	0
AL035413.1	507	9	2	5	8	4	4
AL035413.2	525	6	1	1	2	1	3
AL035414.1	857	0	1	6	1	4	0
AL035415.1	289	0	0	0	0	0	0
AL035416.1	767	0	1	4	2	1	0
AL035417.1	214	0	0	0	0	0	0
AL035417.2	796	0	0	2	1	3	1
AL035419.1	564	0	2	1	0	6	0
AL035420.1	682	0	0	2	1	7	1
AL035420.2	616	0	1	5	0	3	0
AL035420.3	321	0	0	3	0	0	0
AL035422.1	397	4	7	0	16	2	11
AL035422.2	565	14	13	17	9	16	2
AL035423.1	213	0	0	0	0	3	0
AL035425.1	1498	0	5	10	0	5	0
AL035425.2	563	0	0	0	0	0	0
AL035425.3	4996	0	2	11	5	12	0
AL035425.4	1063	0	5	2	0	3	0
AL035427.1	387	1	1	2	3	2	2
AL035443.1	736	1	0	10	0	4	0
AL035446.1	453	2	0	8	6	4	0
AL035448.1	1831	24	21	16	25	15	32
AL035454.1	433	0	1	7	3	8	3
AL035456.1	1369	3	6	5	6	9	7
AL035458.1	585	1	0	3	0	2	0
AL035458.2	478	1	0	4	1	0	0
AL035460.1	1866	0	0	0	0	0	0
AL035461.1	332	2	1	2	4	0	1
AL035461.2	524	4	6	0	3	1	1
AL035467.1	686	0	5	6	0	8	0
AL035470.1	220	0	0	1	0	0	0
AL035530.1	331	0	0	0	2	1	0
AL035530.2	1951	12	18	13	11	15	14
AL035541.1	823	0	3	2	0	6	0
AL035551.1	348	0	1	1	1	3	0
AL035555.1	1790	6	9	23	11	20	0
AL035563.1	1539	6	6	12	13	8	10
AL035587.1	1490	2	7	3	3	3	2
AL035588.1	408	0	1	0	0	0	0
AL035604.1	531	0	0	0	0	3	0
AL035633.1	838	0	1	0	0	0	0
AL035634.1	372	0	1	0	2	0	1
AL035658.1	357	1	1	2	1	2	1
AL035660.1	222	0	0	0	0	1	0
AL035660.2	556	1	1	5	0	5	0
AL035661.1	1144	0	2	3	0	4	0
AL035665.1	1669	0	1	6	1	8	2
AL035666.1	348	0	0	1	0	4	0
AL035681.1	2500	14	13	10	16	8	8
AL035685.1	3951	3	0	4	4	21	0
AL035690.1	383	0	0	1	0	4	0
AL035691.1	595	0	0	1	0	2	0
AL035696.1	2007	6	6	16	1	18	1
AL035696.2	709	0	2	2	3	3	0
AL035696.3	2050	0	11	14	5	22	0
AL035698.1	564	0	1	5	2	5	2
AL035701.1	739	2	3	2	4	8	7
AL035706.1	683	0	1	1	3	2	1
AL049536.1	1044	0	0	0	1	2	0
AL049539.1	459	2	0	2	2	3	5
AL049541.1	642	1	0	6	0	9	0
AL049541.2	555	0	0	0	0	0	0
AL049542.1	278	0	1	0	1	1	0
AL049543.1	2874	10	19	44	5	59	0
AL049544.1	673	0	2	13	2	12	0
AL049545.1	572	0	0	3	2	5	0
AL049548.1	385	2	1	8	2	9	0
AL049552.1	577	13	17	6	13	6	14
AL049555.1	1933	0	2	2	0	1	3
AL049564.1	825	0	1	5	0	3	0
AL049569.1	636	2	1	0	1	0	0
AL049594.1	805	1	0	0	0	0	1
AL049597.1	555	1	3	5	0	1	0
AL049597.2	961	2	2	7	8	9	6
AL049610.1	372	1	0	1	0	0	1
AL049612.1	694	0	0	1	0	0	0
AL049629.1	648	0	0	2	0	4	0
AL049634.1	1720	2	2	6	4	7	1
AL049634.2	1283	0	0	0	1	0	0
AL049634.3	457	0	0	0	0	0	0
AL049636.1	1357	1	1	9	2	8	1
AL049637.1	503	5	12	7	8	10	12
AL049637.2	930	1	0	1	0	1	0
AL049641.1	1948	0	0	9	3	9	0
AL049646.1	2548	1	1	8	1	11	0
AL049646.2	258	1	0	0	1	0	0
AL049647.1	1789	2	5	17	3	19	1
AL049648.1	282	6	11	9	22	14	27
AL049649.1	1433	3	7	25	4	33	1
AL049650.1	823	0	0	0	0	0	0
AL049651.1	719	0	0	2	0	0	0
AL049651.2	559	0	0	5	0	4	0
AL049693.1	611	1	3	18	3	7	0
AL049697.1	3530	14	10	8	9	7	15
AL049697.2	294	0	0	2	1	2	0
AL049697.3	982	0	1	2	1	2	0
AL049698.1	1539	0	0	1	1	1	0
AL049712.1	872	0	0	0	0	3	0
AL049714.1	347	0	1	5	1	2	0
AL049732.1	121	1	1	2	0	3	0
AL049733.1	603	15	10	8	12	5	11
AL049734.1	608	0	0	2	0	5	0
AL049734.2	616	1	1	13	1	8	0
AL049737.1	1403	0	0	3	0	2	0
AL049745.1	286	0	1	1	0	0	0
AL049747.1	852	0	0	3	0	1	0
AL049748.1	601	0	0	1	0	3	0
AL049749.1	632	0	0	1	0	1	0
AL049757.1	1596	0	1	0	0	1	1
AL049758.1	397	1	2	0	1	1	5
AL049765.1	573	0	0	0	0	0	0
AL049767.1	514	0	1	2	0	2	0
AL049775.1	2448	1	3	13	1	16	0
AL049775.2	558	0	2	6	3	5	0
AL049775.3	643	0	0	0	0	0	0
AL049776.1	2025	35	26	15	28	11	25
AL049777.1	518	1	0	3	0	2	0
AL049779.1	804	0	0	1	0	0	0
AL049779.2	315	3	3	2	3	3	1
AL049779.3	606	5	8	6	2	4	1
AL049779.4	156	0	0	1	0	0	0
AL049780.1	489	14	11	3	17	9	6
AL049780.2	367	1	0	1	3	0	1
AL049780.3	1583	1	7	3	12	2	9
AL049781.1	3585	54	23	67	11	75	0
AL049792.1	1262	1	0	14	2	12	0
AL049794.1	774	0	1	22	5	9	2
AL049794.2	365	0	1	3	2	1	0
AL049795.1	1357	0	0	0	0	0	0
AL049795.2	667	0	0	0	0	0	0
AL049796.1	1766	1	1	6	5	9	8
AL049812.1	2267	25	40	136	16	134	3
AL049812.2	594	0	1	1	0	1	0
AL049812.3	417	0	0	1	1	2	0
AL049820.1	423	0	0	1	1	3	1
AL049829.1	156	0	0	0	0	0	0
AL049829.2	285	0	0	0	0	0	0
AL049829.3	1947	0	2	10	16	16	7
AL049830.1	425	0	1	3	0	3	0
AL049830.2	201	0	0	0	1	0	0
AL049830.3	2302	0	0	5	6	4	4
AL049830.4	351	53	73	14	61	20	69
AL049833.1	840	0	0	1	0	2	0
AL049833.2	1274	2	1	11	1	12	0
AL049833.3	3738	1	3	31	6	42	0
AL049835.1	514	34	37	23	25	19	47
AL049836.1	539	0	0	0	0	1	0
AL049836.2	513	0	0	3	1	2	0
AL049838.1	981	2	2	8	4	1	5
AL049839.1	657	0	2	7	4	12	0
AL049839.2	3067	1	1	5	0	5	0
AL049840.1	1404	112	107	11	134	7	127
AL049840.2	535	1	2	0	0	0	0
AL049840.3	611	3	3	0	3	0	2
AL049840.4	811	46	46	4	41	4	46
AL049840.5	552	1	4	0	2	2	0
AL049840.6	475	116	108	22	193	30	180
AL049842.1	1479	2	3	13	3	16	0
AL049844.1	762	0	1	2	4	1	0
AL049844.2	628	7	6	7	4	13	3
AL049844.3	1496	0	0	0	0	0	0
AL049861.1	150	0	0	2	0	0	1
AL049869.1	1402	1	3	7	0	6	0
AL049869.2	432	0	0	1	0	1	0
AL049869.3	558	5	1	6	7	1	7
AL049869.4	178	5	0	3	4	7	0
AL049870.1	308	3	2	6	5	1	5
AL049870.2	693	0	1	1	2	2	0
AL049870.3	360	2	4	3	3	3	5
AL049870.4	486	1	1	1	1	0	0
AL049871.1	880	3	0	8	4	6	0
AL049872.1	322	21	33	48	29	36	19
AL049873.1	376	1	2	15	1	14	1
AL049873.2	498	0	1	2	0	5	0
AL049874.1	388	1	2	1	0	1	0
AL049874.2	288	0	0	2	0	1	1
AL049874.3	868	1	2	2	0	3	0
AL049874.4	255	0	0	2	0	0	0
AL049875.1	1209	5	7	12	7	15	25
AL050303.1	458	0	0	0	0	0	0
AL050303.2	666	0	0	0	0	0	0
AL050303.3	284	0	0	0	0	0	0
AL050303.4	1839	0	0	0	0	0	0
AL050305.1	1230	0	2	5	2	4	0
AL050320.1	446	0	0	2	0	3	0
AL050321.1	400	0	0	1	0	4	0
AL050327.1	507	1	0	0	1	4	0
AL050331.1	623	1	1	2	0	1	0
AL050331.2	421	0	0	0	0	0	0
AL050331.3	2081	8	4	6	7	10	6
AL050335.1	869	0	2	4	2	3	0
AL050338.1	786	0	3	12	3	11	1
AL050338.2	1051	0	0	1	0	0	0
AL050341.1	313	0	0	1	2	1	0
AL050341.2	1541	8	8	4	9	2	9
AL050343.1	1819	15	3	5	8	5	8
AL050343.2	280	3	4	2	4	3	1
AL050344.1	863	0	1	8	2	5	0
AL050349.1	401	0	0	0	0	1	0
AL050402.1	770	0	0	2	0	1	1
AL050403.1	2006	1	0	12	2	8	0
AL050403.2	1279	1	1	8	6	6	0
AL050404.1	802	0	0	0	0	3	0
AL078459.1	2277	16	14	19	10	16	1
AL078581.1	340	0	1	1	3	2	3
AL078581.2	378	0	0	0	0	0	0
AL078581.3	744	7	7	6	6	6	5
AL078582.1	511	0	0	2	1	0	1
AL078587.1	542	5	6	11	1	16	2
AL078590.1	479	0	0	0	1	4	1
AL078590.2	1731	1	4	10	3	7	0
AL078590.3	1404	4	8	19	8	21	0
AL078595.1	226	0	0	0	1	1	0
AL078595.2	1780	3	0	10	4	13	0
AL078595.3	1166	0	0	3	1	5	0
AL078596.1	447	1	0	0	0	1	0
AL078599.1	293	2	1	8	2	8	0
AL078599.2	471	29	43	57	124	67	192
AL078601.1	271	0	0	8	3	3	0
AL078601.2	474	0	0	3	4	3	0
AL078601.3	535	1	0	4	1	3	1
AL078603.1	313	0	0	1	1	1	0
AL078604.1	466	1	4	2	2	8	3
AL078604.2	2002	13	10	14	7	16	2
AL078604.3	211	0	1	0	1	1	0
AL078605.1	500	0	0	1	0	1	0
AL078612.1	150	0	0	0	0	0	0
AL078612.2	646	1	3	5	2	4	0
AL078621.1	768	1	1	1	0	3	0
AL078621.2	698	1	1	1	0	0	0
AL078621.3	2042	0	2	1	0	3	0
AL078623.1	907	2	7	12	6	25	0
AL078624.1	547	1	0	0	1	4	0
AL078624.2	554	0	0	0	0	3	0
AL078644.1	752	4	14	18	9	18	1
AL078645.1	423	2	3	6	11	6	10
AL078645.2	1325	55	57	27	145	33	148
AL079301.1	1633	4	6	8	2	10	1
AL079303.1	463	0	0	1	0	4	0
AL079303.2	2613	0	1	7	0	14	0
AL079304.1	828	3	3	3	3	7	4
AL079305.1	3008	0	3	13	11	12	0
AL079307.1	5982	6	17	70	11	53	0
AL079307.2	448	0	0	0	0	0	0
AL079307.3	283	0	0	3	0	1	0
AL079341.1	1207	5	2	1	7	0	4
AL079342.1	267	0	1	3	0	0	0
AL079342.2	482	0	0	2	0	1	1
AL079342.3	2061	9	5	33	6	25	5
AL079343.1	1771	0	2	4	2	6	1
AL079352.1	1042	1	2	8	4	8	1
AL080243.1	1060	0	1	1	0	1	1
AL080243.2	582	1	1	1	1	3	0
AL080248.1	388	8	5	6	10	2	6
AL080250.1	1519	50	42	10	15	8	22
AL080251.1	4369	3	0	1	0	2	0
AL080273.1	535	0	2	2	0	2	0
AL080274.1	220	0	2	13	3	12	0
AL080276.1	247	0	1	5	3	8	0
AL080276.2	2146	7	4	1	6	4	4
AL080284.1	442	0	2	7	0	3	0
AL080285.1	984	0	1	7	1	8	0
AL080285.2	458	0	2	5	2	5	0
AL080312.1	824	0	0	3	1	4	0
AL080312.2	630	0	1	2	2	4	0
AL080313.1	405	2	5	13	5	18	0
AL080313.2	489	0	3	6	0	4	0
AL080315.1	466	0	0	7	2	2	1
AL080316.1	499	2	1	6	3	5	0
AL080317.1	557	38	41	16	19	9	44
AL080317.2	1385	60	41	32	32	18	46
AL080317.3	4315	60	54	30	47	29	33
AL096677.1	814	0	2	4	0	4	0
AL096678.1	472	0	0	2	0	1	0
AL096700.1	744	0	1	6	0	4	0
AL096701.1	457	2	2	1	0	1	0
AL096701.2	238	2	4	6	3	2	3
AL096701.3	788	2	2	2	2	0	1
AL096711.1	554	2	2	9	2	4	1
AL096712.1	159	1	2	1	3	2	1
AL096772.1	781	5	5	11	2	7	3
AL096799.1	381	0	0	3	0	1	0
AL096800.1	893	0	1	8	1	8	0
AL096803.1	1021	0	4	2	4	10	2
AL096803.2	677	0	1	1	1	0	0
AL096803.3	532	1	0	3	0	1	0
AL096814.1	688	0	0	0	0	0	0
AL096816.1	2920	4	8	44	7	43	1
AL096817.1	1775	18	18	18	39	26	37
AL096828.1	542	0	0	1	0	0	0
AL096828.2	1965	0	1	3	1	5	0
AL096828.3	462	0	0	0	0	0	0
AL096829.1	457	0	0	2	0	1	1
AL096829.2	742	0	2	3	2	0	1
AL096840.1	93	1	0	0	0	0	0
AL096855.1	702	13	12	4	8	2	2
AL096855.2	369	0	1	0	2	0	2
AL096861.1	123	0	0	1	1	3	0
AL096865.1	927	3	2	3	1	3	1
AL096869.1	559	5	5	7	6	2	10
AL096869.2	1376	18	11	10	6	6	19
AL096869.3	2626	1	2	10	1	9	0
AL096870.1	930	0	0	0	0	0	0
AL096870.2	3045	0	1	0	3	2	1
AL109610.1	431	0	0	5	1	4	0
AL109613.1	1954	11	13	22	16	28	11
AL109614.1	419	15	6	1	5	3	4
AL109615.1	455	0	0	1	0	3	1
AL109615.2	1608	2	0	1	1	0	0
AL109615.3	2296	4	5	3	10	7	3
AL109618.1	1683	1	2	9	1	20	0
AL109618.2	211	0	0	0	0	1	0
AL109618.3	430	0	0	0	0	1	0
AL109620.1	1197	0	0	2	0	0	0
AL109628.1	366	0	2	4	1	2	0
AL109628.2	201	1	3	2	1	4	2
AL109653.1	248	0	0	0	0	1	0
AL109653.2	1065	1	5	10	2	5	0
AL109659.1	651	1	0	5	2	1	0
AL109659.2	1674	0	2	5	1	8	0
AL109659.3	950	0	0	4	2	1	0
AL109741.1	403	1	4	2	5	3	6
AL109741.2	343	0	0	1	0	1	0
AL109741.3	592	3	0	2	4	3	3
AL109754.1	1036	0	0	5	1	0	0
AL109755.1	649	2	2	8	2	7	0
AL109761.1	454	5	11	8	4	8	1
AL109763.1	461	0	0	2	3	2	0
AL109766.1	552	1	5	27	5	20	0
AL109767.1	564	0	0	2	0	5	0
AL109797.1	835	0	3	9	1	16	0
AL109804.1	562	0	1	1	3	0	1
AL109806.1	1248	1	0	3	1	8	1
AL109807.1	569	0	2	3	4	6	0
AL109809.1	1564	3	1	5	1	5	1
AL109809.2	493	0	2	8	1	5	0
AL109809.3	246	0	3	1	0	2	0
AL109809.4	2185	3	4	15	4	17	0
AL109810.1	495	0	2	3	0	5	1
AL109810.2	1348	0	0	6	1	9	0
AL109811.1	2682	2	0	2	0	3	1
AL109811.2	536	0	0	2	0	1	0
AL109811.3	870	25	20	10	19	10	17
AL109811.4	2205	0	0	0	0	0	0
AL109827.1	872	0	0	0	0	0	0
AL109837.1	613	0	5	10	2	9	0
AL109837.2	295	0	0	6	0	4	0
AL109838.1	280	0	0	1	0	2	0
AL109910.1	1330	0	0	3	0	2	0
AL109910.2	1953	0	0	1	0	1	0
AL109913.1	514	0	0	1	0	0	0
AL109914.1	146	0	0	0	0	0	0
AL109917.1	906	10	4	4	7	5	8
AL109918.1	3039	8	8	17	7	22	4
AL109918.2	279	0	0	2	0	4	0
AL109918.3	338	0	1	4	0	5	2
AL109920.1	415	0	0	0	0	3	0
AL109923.1	583	2	0	1	0	0	3
AL109924.1	914	0	1	0	0	4	0
AL109924.2	934	0	2	9	1	21	0
AL109924.3	401	0	0	1	0	1	0
AL109924.4	670	0	1	0	1	1	0
AL109930.1	724	0	0	0	0	0	0
AL109933.1	327	0	0	0	0	0	0
AL109933.2	260	0	0	1	0	2	0
AL109933.3	188	0	0	0	0	0	0
AL109933.4	157	0	0	3	1	4	0
AL109935.1	473	0	0	1	0	2	0
AL109935.2	395	1	1	1	1	2	0
AL109936.1	460	0	0	2	0	2	1
AL109936.2	650	2	3	6	14	8	13
AL109936.8	604	3	3	3	3	1	2
AL109941.1	229	0	0	0	0	1	0
AL109945.1	687	1	1	9	12	5	0
AL109947.1	382	0	1	0	0	0	0
AL109954.1	2290	0	1	9	0	11	0
AL109954.2	530	0	0	1	1	2	0
AL109954.3	558	1	0	5	1	5	0
AL109955.1	1540	7	7	6	12	4	6
AL109976.1	5678	5	2	11	5	8	1
AL109983.1	646	0	1	7	0	3	1
AL110115.1	364	5	3	2	12	3	4
AL110115.2	325	0	0	0	1	0	1
AL110118.1	400	0	0	4	0	3	0
AL110118.2	920	0	2	0	2	0	0
AL110292.1	919	1	1	10	4	6	0
AL110503.1	534	0	1	2	0	3	0
AL110504.1	889	0	0	0	0	0	0
AL110505.1	522	0	1	1	1	3	0
AL117187.1	181	0	0	2	0	0	0
AL117190.1	1985	3	3	0	4	1	3
AL117190.2	289	0	0	0	0	0	0
AL117190.3	87	0	1	0	0	0	0
AL117192.1	2072	2	0	8	6	22	0
AL117209.1	828	19	18	4	19	4	13
AL117258.1	2656	5	3	14	4	21	2
AL117328.1	162	0	0	0	0	2	0
AL117328.2	1940	2	2	0	0	3	1
AL117329.1	2276	0	3	10	3	7	0
AL117329.2	740	0	1	2	2	6	0
